#columns (so you dont have to count them when you plot!
#1=MJD
#2-4=nH, upper limit, lower limit
#5-7=Inner disk temperature, upper limit, lower limit
#8-10=Disk Normalisation, upper limit, lower limit
#11-13=PL index, upper limit, lower limit
#14-16=PL Normalisation, upper limit, lower limit
#17-19=Absorbed 0.6-10 keV flux, upper limit, lower limit
#20-22=Unabsorbed 0.6-10 keV flux, upper limit, lower limit (log10)
#23-25=0.6-10 keV flux of the PL component , upper limit, lower limit (log10)
#26=chi2
#27=degrees of freedom
#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	absflux(0.6-10keV)	absflux_UL	absflux_LL	unabsflux(0.6-10keV_log10)	unabsflux_UL	unabsflux_LL	PLflux(0.6-10keV_log10)	PLfl_UL	PLfl_LL	chi2	dof
54657.8674787	0.116755	0.139793	0.0941986	NaN	NaN	NaN	NaN	NaN	NaN	1.57896	1.61779	1.54068	0.199741	0.208606	0.19127	1.31846e-09	1.34116e-09	1.29696e-09	-8.85667	-8.84853	-8.86491	-8.85667	-8.84853	-8.86491	360.136	359
54659.3323329	0.152389	0.169746	0.13529	NaN	NaN	NaN	NaN	NaN	NaN	1.5983	1.62678	1.5701	0.168597	0.174123	0.163256	1.07118e-09	1.07961e-09	1.05877e-09	-8.94004	-8.93428	-8.94585	-8.94004	-8.93428	-8.94585	520.582	491
56202.3614615	0.215168	0.235379	0.195333	NaN	NaN	NaN	NaN	NaN	NaN	1.60847	1.63979	1.57749	0.099177	0.102817	0.0956758	6.07693e-10	6.13546e-10	6.01292e-10	-9.17557	-9.16933	-9.18186	-9.17557	-9.16933	-9.18186	435.482	466
56450.6172824	0.0816169	0.127828	0.037355	NaN	NaN	NaN	NaN	NaN	NaN	1.4954	1.57259	1.42026	0.0470104	0.0512605	0.0431194	3.49274e-10	3.57657e-10	3.39832e-10	-9.44165	-9.42539	-9.45834	-9.44165	-9.42539	-9.45834	163.412	160
56457.3623797	0.192381	0.218206	0.167187	NaN	NaN	NaN	NaN	NaN	NaN	1.58798	1.62756	1.54894	0.0642868	0.0672907	0.061426	4.07542e-10	4.11966e-10	4.02371e-10	-9.35357	-9.34562	-9.36164	-9.35357	-9.34562	-9.36164	388.368	374
56461.556164	0.167607	0.194131	0.141754	NaN	NaN	NaN	NaN	NaN	NaN	1.53213	1.57257	1.49225	0.0532003	0.055767	0.0507591	3.65289e-10	3.69956e-10	3.59486e-10	-9.40719	-9.39895	-9.41553	-9.40719	-9.39895	-9.41553	359.944	366
56473.4389858	0.201946	0.228244	0.176307	NaN	NaN	NaN	NaN	NaN	NaN	1.57344	1.61318	1.53425	0.0520131	0.0544704	0.0496742	3.34719e-10	3.38992e-10	3.31027e-10	-9.43822	-9.43023	-9.44632	-9.43822	-9.43023	-9.44632	365.454	376
57086.9079349	0.54482	0.606426	0.449213	0.3633	0.388159	0.344407	3624.07	5305.38	2166.09	4.21845	4.40498	3.90936	1.11077	1.38806	0.734125	1.16444e-09	1.1663e-09	1.12742e-09	-8.4911	-8.42649	-8.58629	-9.4178	-8.50158	-8.78908	314.78	261
57087.6410205	0.528243	0.597153	0.428775	0.367735	0.413579	0.336011	2558.41	5285.84	1092.3	4.23019	4.44631	3.91234	1.13669	1.43575	0.752045	1.12343e-09	1.12101e-09	1.03442e-09	-8.50832	-8.43554	-8.60892	-8.59401	-8.48567	-8.77825	220.882	213
57090.6146922	0.417747	0.512339	0.276084	0.3117	0.330612	0.297652	7977.92	11224.9	3947.73	3.87698	4.18851	3.25804	0.788919	1.19234	0.325707	1.15202e-09	1.15268e-09	1.12966e-09	-8.60136	-8.5021	-8.72987	-8.77325	-8.57445	-9.11642	212.111	243
