#MJD 15GHz 15GHz_err 1.7GHz 1.7GHz_err 1.4GHz 1.4GHz_err 4.8Ghz 4.8GHz_err 8.4GHz 8.4GHz_err 4.9GHz 4.9GHz_err 8.5GHz 8.5GHz_err
56728.145434 0.000195275620456 0.000107811477358 nan nan nan nan nan nan nan nan nan nan nan nan
56730.1288947 0.00028490645121 0.000137138959516 nan nan nan nan nan nan nan nan nan nan nan nan
56733.1858043 0.000241038852153 8.32759642022e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56736.212934 0.000273541803325 9.12292333039e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56739.2199827 0.00023949310587 8.29833938918e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56740.1819272 0.000185101585676 0.00010178404678 nan nan nan nan nan nan nan nan nan nan nan nan
56742.1958623 0.000219980023509 0.000111104710271 nan nan nan nan nan nan nan nan nan nan nan nan
56745.1883623 0.000396387629532 0.000108781176828 nan nan nan nan nan nan nan nan nan nan nan nan
56746.1953298 0.000388686330621 0.000118045553454 nan nan nan nan nan nan nan nan nan nan nan nan
56748.0901332 0.000254762957913 0.000186355527802 nan nan nan nan nan nan nan nan nan nan nan nan
56751.129728 0.000131245443574 0.000114499591941 nan nan nan nan nan nan nan nan nan nan nan nan
56752.113154 0.000225063259118 9.01248038162e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56755.1195082 0.000344373448722 0.000118502305957 nan nan nan nan nan nan nan nan nan nan nan nan
56757.0558623 0.000278697099317 0.000120213949227 nan nan nan nan nan nan nan nan nan nan nan nan
56760.0843808 0.000229273148365 8.61451277864e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56763.0879687 0.000230088923909 8.90564307928e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56765.0561863 0.000292859042026 7.91861555807e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56768.1504918 0.000387018686002 0.000157351448042 nan nan nan nan nan nan nan nan nan nan nan nan
56771.1506077 0.000327340055308 0.00014270578356 nan nan nan nan nan nan nan nan nan nan nan nan
56773.0689757 0.000296968776917 0.000112730318966 nan nan nan nan nan nan nan nan nan nan nan nan
56776.0407002 0.000283807639722 0.000103096289788 nan nan nan nan nan nan nan nan nan nan nan nan
56781.0118113 0.00025819602074 8.52558992741e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56784.0527835 0.000500684136154 0.000110661994093 nan nan nan nan nan nan nan nan nan nan nan nan
56786.0350868 0.000408391794777 8.73576816914e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56790.0474827 0.000452664615827 9.83768848694e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56792.0378762 0.00047671698969 0.000102757713545 nan nan nan nan nan nan nan nan nan nan nan nan
56800.0527373 0.000316619353613 0.000109111470506 nan nan nan nan nan nan nan nan nan nan nan nan
56806.9996817 0.000444157938143 0.000140051546925 nan nan nan nan nan nan nan nan nan nan nan nan
56830.9507697 0.00045594318941 0.000136186995671 nan nan nan nan nan nan nan nan nan nan nan nan
56837.910191 0.000389703602162 0.00012303980573 nan nan nan nan nan nan nan nan nan nan nan nan
56846.8509895 0.000199994808617 0.000213801780015 nan nan nan nan nan nan nan nan nan nan nan nan
56851.9225173 0.000204397356251 0.000104604710208 nan nan nan nan nan nan nan nan nan nan nan nan
56859.7815567 0.000332866476758 0.000182645668027 nan nan nan nan nan nan nan nan nan nan nan nan
56873.8451447 0.000205642194207 0.000108904062161 nan nan nan nan nan nan nan nan nan nan nan nan
56878.7469965 0.000183372232437 0.000145350787888 nan nan nan nan nan nan nan nan nan nan nan nan
56884.8109548 0.000277909023838 0.00013558337064 nan nan nan nan nan nan nan nan nan nan nan nan
56891.7946123 0.000269631188271 9.34691231437e-05 nan nan nan nan nan nan nan nan nan nan nan nan
56898.6549942 7.47561302379e-05 0.000141581250015 nan nan nan nan nan nan nan nan nan nan nan nan
56903.6815103 0.000410450741019 0.000107632054806 nan nan nan nan nan nan nan nan nan nan nan nan
56910.6305382 0.000222158039095 0.000207062018925 nan nan nan nan nan nan nan nan nan nan nan nan
56913.6008738 0.000190018389103 0.000147303967635 nan nan nan nan nan nan nan nan nan nan nan nan
56919.7029225 0.000512517306223 0.000154176676085 nan nan nan nan nan nan nan nan nan nan nan nan
56926.6076332 0.000215346620218 0.000156995527535 nan nan nan nan nan nan nan nan nan nan nan nan
56933.5954457 0.000323611169155 0.000221497557763 nan nan nan nan nan nan nan nan nan nan nan nan
56941.5888368 0.000527195539443 0.00015202233305 nan nan nan nan nan nan nan nan nan nan nan nan
56947.6458623 0.000505980261323 0.000174969947793 nan nan nan nan nan nan nan nan nan nan nan nan
56955.5035127 0.00011081064092 0.000119603400503 nan nan nan nan nan nan nan nan nan nan nan nan
56962.6083623 0.00039221064924 0.000107924173799 nan nan nan nan nan nan nan nan nan nan nan nan
56969.5179225 0.00154682802846 0.000511061886904 nan nan nan nan nan nan nan nan nan nan nan nan
56976.5701447 0.000340675105221 0.000161308467798 nan nan nan nan nan nan nan nan nan nan nan nan
56982.5087442 0.000199691852942 0.00012528286652 nan nan nan nan nan nan nan nan nan nan nan nan
56989.5353415 0.000209688224654 9.59088760948e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57001.514346 0.000491165765508 0.000132459819721 nan nan nan nan nan nan nan nan nan nan nan nan
57011.4669618 0.000391413323399 9.07185379688e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57017.4062558 9.67683600565e-05 9.16174654746e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57022.4189178 0.000438678106235 0.000119076526309 nan nan nan nan nan nan nan nan nan nan nan nan
57029.3250058 0.000136514388546 0.000133294050382 nan nan nan nan nan nan nan nan nan nan nan nan
57040.2790452 0.000389939870038 0.000138149299957 nan nan nan nan nan nan nan nan nan nan nan nan
57046.286904 5.85284554663e-05 9.81690436294e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57051.2718692 -7.24448970737e-05 0.000122325708186 nan nan nan nan nan nan nan nan nan nan nan nan
57070.3003183 -5.27531709779e-06 8.67146586805e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57081.2183507 -1.96291443501e-05 0.000138863779939 nan nan nan nan nan nan nan nan nan nan nan nan
57085.2600637 -3.62053529313e-05 9.12000675527e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57088.2158507 1.32291683848e-05 9.31742951446e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57093.2271353 -3.22397068303e-05 8.75797224078e-05 nan nan nan nan nan nan nan nan nan nan nan nan
57100.0736632 -4.76849679028e-05 0.00016293815167 nan nan nan nan nan nan nan nan nan nan nan nan
57122.1036285 0.000203713652054 0.000165463038779 nan nan nan nan nan nan nan nan nan nan nan nan
57127.0428877 1.17609966381e-05 0.000123390605469 nan nan nan nan nan nan nan nan nan nan nan nan
57131.168397 5.13305234749e-05 0.000104327316783 nan nan nan nan nan nan nan nan nan nan nan nan
57138.0821123 -0.000111368592988 0.000157878788274 nan nan nan nan nan nan nan nan nan nan nan nan
57144.0553415 3.64667312334e-05 0.000119967004155 nan nan nan nan nan nan nan nan nan nan nan nan
57150.0625058 2.38013109406e-05 0.000109974623052 nan nan nan nan nan nan nan nan nan nan nan nan
57155.0460822 7.67673607724e-05 0.000100678946898 nan nan nan nan nan nan nan nan nan nan nan nan
57156.0080267 -8.74727011336e-05 0.000100701455287 nan nan nan nan nan nan nan nan nan nan nan nan
57172.0529918 3.0413297268e-05 0.000122567907104 nan nan nan nan nan nan nan nan nan nan nan nan
57179.008941 -8.54965267394e-07 0.00014951596989 nan nan nan nan nan nan nan nan nan nan nan nan
57185.9510475 7.24109830015e-05 0.000213921422986 nan nan nan nan nan nan nan nan nan nan nan nan
57207.804404 6.81238991548e-05 0.000184899097998 nan nan nan nan nan nan nan nan nan nan nan nan
57217.8200405 0.000333889445426 0.000306623953389 nan nan nan nan nan nan nan nan nan nan nan nan
57222.8784202 0.000311239787174 0.000174455335119 nan nan nan nan nan nan nan nan nan nan nan nan
