#MJD	nH	nH_UL	nH_LL	kT	kT_UL	kT_LL	N_d	N_dUL	N_dLL	Gamma	Gamma_ULL	Gamma_LL	N_Gamma	N_GUL	N_GLL	flux	flux_UL	flux_LL	chi2	dof
53644.0400342	0.238718	0.247995	0.229489	NaN	NaN	NaN	NaN	NaN	NaN	1.61553	1.62887	1.60223	0.107031	0.108806	0.105287	6.44629e-10	6.47305e-10	6.41422e-10	837.343	725
53661.7899675	0.236884	0.255278	0.218791	NaN	NaN	NaN	NaN	NaN	NaN	1.62974	1.65696	1.60277	0.100449	0.103721	0.0972867	5.9462e-10	5.98802e-10	5.90029e-10	512.938	517
53665.341705	0.206632	0.228786	0.184941	NaN	NaN	NaN	NaN	NaN	NaN	1.58557	1.61898	1.55256	0.0941786	0.0979343	0.0905757	5.95817e-10	6.01689e-10	5.87148e-10	469.086	425
53950.6560138	0.265945	0.303044	0.230039	NaN	NaN	NaN	NaN	NaN	NaN	1.65164	1.705	1.59927	0.0833332	0.0886911	0.0783184	4.75047e-10	4.82293e-10	4.6686e-10	263.277	278
53959.0370986	0.265526	0.298836	0.233248	NaN	NaN	NaN	NaN	NaN	NaN	1.64508	1.69345	1.59755	0.0898145	0.0950196	0.0849135	5.16315e-10	5.25598e-10	5.08385e-10	275.361	302
53968.2619489	0.204155	0.242215	0.167444	NaN	NaN	NaN	NaN	NaN	NaN	1.57416	1.63024	1.51917	0.0861477	0.0920011	0.0806866	5.53449e-10	5.62925e-10	5.42684e-10	247.465	259
53973.4341031	0.167983	0.216432	0.121606	NaN	NaN	NaN	NaN	NaN	NaN	1.5604	1.63341	1.4892	0.096893	0.105457	0.0890544	6.417e-10	6.55967e-10	6.29238e-10	155.73	173
53979.6643533	0.228898	0.273702	0.185847	NaN	NaN	NaN	NaN	NaN	NaN	1.59973	1.6655	1.53535	0.090853	0.0980479	0.0842125	5.60164e-10	5.72227e-10	5.45956e-10	189.925	221
53985.0050254	0.443992	0.5344	0.346984	0.134533	0.14792	0.124342	127565	307781	41769.3	1.72812	1.77245	1.68308	0.121616	0.129615	0.113871	6.17661e-10	6.19852e-10	6.06891e-10	479.395	538
54248.7123421	0.220869	0.241713	0.200433	NaN	NaN	NaN	NaN	NaN	NaN	1.53514	1.56523	1.50536	0.0957205	0.0992272	0.0923447	6.4297e-10	6.50763e-10	6.36802e-10	460.429	478
54256.6241773	0.196179	0.2168	0.175953	NaN	NaN	NaN	NaN	NaN	NaN	1.52495	1.5558	1.49443	0.0923585	0.0957827	0.0890635	6.33786e-10	6.3939e-10	6.28252e-10	430.361	469
54262.6400923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
54275.5773653	0.19343	0.213286	0.17393	NaN	NaN	NaN	NaN	NaN	NaN	1.57206	1.60224	1.54221	0.109817	0.113772	0.106009	7.10076e-10	7.1685e-10	7.03669e-10	422.866	473
54282.9318052	0.160773	0.180805	0.141105	NaN	NaN	NaN	NaN	NaN	NaN	1.57052	1.60169	1.53969	0.140363	0.145558	0.135363	9.20271e-10	9.27502e-10	9.13715e-10	476.772	457
54283.0639602	0.154849	0.172665	0.137308	NaN	NaN	NaN	NaN	NaN	NaN	1.5695	1.59753	1.54174	0.105304	0.10879	0.101935	6.92837e-10	6.98912e-10	6.87001e-10	516.587	502
54284.1340089	0.196274	0.213946	0.178881	NaN	NaN	NaN	NaN	NaN	NaN	1.587	1.61391	1.56033	0.110626	0.114174	0.107194	7.01189e-10	7.08551e-10	6.95413e-10	554.07	520
